ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0001968	fibronectin binding	3/40	28/18368	3.01807917515545e-05	0.00751501714613707	0.00467008040787211	7422/3676/7057	3
GO:0001046	core promoter sequence-specific DNA binding	3/40	42/18368	0.000103550286471816	0.0128920106657411	0.00801152216387208	5970/4609/2353	3
GO:0005178	integrin binding	4/40	144/18368	0.000265897395995665	0.016140419967803	0.0100301912291991	3676/6387/7057/3689	4
GO:0005126	cytokine receptor binding	5/40	271/18368	0.000290584710469489	0.016140419967803	0.0100301912291991	7422/836/6387/8743/5618	5
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	6/40	450/18368	0.000396046474277353	0.016140419967803	0.0100301912291991	5970/3091/4613/5087/4609/2353	6
GO:0001216	DNA-binding transcription activator activity	6/40	456/18368	0.000424905613136885	0.016140419967803	0.0100301912291991	5970/3091/4613/5087/4609/2353	6
GO:0005518	collagen binding	3/40	69/18368	0.000453746746082814	0.016140419967803	0.0100301912291991	1508/7057/4318	3
GO:0042277	peptide binding	5/40	321/18368	0.000629471527735215	0.0195923013007586	0.0121753045496154	5970/3689/3119/5618/4311	5
GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	2/40	20/18368	0.000857037693646195	0.0237113761908781	0.01473503403111	5970/2353	2
GO:0140297	DNA-binding transcription factor binding	5/40	394/18368	0.00157077342070727	0.0379987034463318	0.0236136521099589	5970/3091/596/4609/2353	5
GO:0033218	amide binding	5/40	400/18368	0.00167865758196647	0.0379987034463318	0.0236136521099589	5970/3689/3119/5618/4311	5
GO:0071813	lipoprotein particle binding	2/40	31/18368	0.00206597629635082	0.0391406667899619	0.0243233059316187	7057/19	2
GO:0071814	protein-lipid complex binding	2/40	31/18368	0.00206597629635082	0.0391406667899619	0.0243233059316187	7057/19	2
GO:0001223	transcription coactivator binding	2/40	32/18368	0.00220068006047978	0.0391406667899619	0.0243233059316187	5970/3091	2
GO:0030291	protein serine/threonine kinase inhibitor activity	2/40	34/18368	0.00248224151951534	0.0412052092239546	0.0256062809381582	836/5577	2
GO:0043394	proteoglycan binding	2/40	36/18368	0.00277989241360144	0.0432620756866725	0.0268844858420666	1508/7057	2
GO:0019825	oxygen binding	2/40	39/18368	0.00325623431353233	0.0472311873360926	0.0293510232018838	1576/6648	2
GO:0019955	cytokine binding	3/40	139/18368	0.00341430269899465	0.0472311873360926	0.0293510232018838	3676/7057/5618	3
GO:0031625	ubiquitin protein ligase binding	4/40	297/18368	0.00387235635672518	0.0491325165141331	0.0305325720886813	5970/3091/596/5577	4
GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	2/40	43/18368	0.00394638686860507	0.0491325165141331	0.0305325720886813	1576/4843	2
