Node	Type
primary Sjögren's Syndrome	disease
Artemisinin	drug
RELA	gene
VEGFA	gene
HIF1A	gene
CYP3A4	gene
SOD2	gene
CFTR	gene
ITGA4	gene
CTSB	gene
NOS2	gene
CASP3	gene
MAPK1	gene
CDH1	gene
BCL2	gene
CXCL12	gene
VTCN1	gene
TNFSF10	gene
THBS1	gene
MYCN	gene
PSME3	gene
ABCA1	gene
PRKAR2B	gene
ITGB2	gene
F2RL1	gene
TRAPPC10	gene
MUC5AC	gene
POLR2L	gene
PBX1	gene
ELOVL4	gene
MYC	gene
TIAM1	gene
BGLAP	gene
EIF2AK2	gene
HLA-DQB1	gene
BLVRB	gene
PRLR	gene
FOS	gene
IRF9	gene
MMP9	gene
ID3	gene
MME	gene
HSPG2	gene
BCL10	gene
NOTCH2	gene
LMNA	gene
FASLG	gene
CHRM3	gene
NLRP3	gene
EIF2AK3	gene
CXCR4	gene
CD46	gene
SSNA1	gene
SIL1	gene
ZNRD2	gene
ABCA7	gene
MYD88	gene
ICA1	gene
HLA-DRB1	gene
TRIM21	gene
SSB	gene
TPMT	gene
